Area,Region,Market,Zip, pct College Degree or more,pct Asian, pct AA, pct Hispanic,pct Hispanic & AA, Hispanic & AA Pops, $ Median HH Income, Total Households, Total Pops, Avg HH Size
East,Northeast,Boston,1013,13.9,1.3,4.2,28.1,32.3,7634,40768,9793,23634,2.4
East,Northeast,Boston,1020,17.7,1.8,2.6,13.3,15.9,4764,51813,13332,29960,2.2
East,Northeast,Boston,1027,30.8,2.8,1.1,4.2,5.3,948,55587,7929,17879,2.3
East,Northeast,Boston,1035,42,5.3,2.2,3.6,5.8,314,69062,2177,5417,2.5
East,Northeast,Boston,1040,21.9,1.3,4.7,55.7,60.4,24579,36165,15675,40693,2.6
East,Northeast,Boston,1060,55.5,5.5,3.2,8.8,12,1656,48030,6644,13799,2.1
East,Northeast,Boston,1069,22.1,1,1.2,3.1,4.3,429,53779,4166,9967,2.4
East,Northeast,Boston,1085,27.4,1.6,1.6,10,11.6,4931,56931,15847,42508,2.7
East,Northeast,Boston,1089,26.1,6,3.4,11.8,15.2,4318,52609,12168,28408,2.3
East,Northeast,Boston,1103,17.2,2.9,19.8,65.5,85.3,2357,17115,1664,2763,1.7
East,Northeast,Boston,1104,10.9,1.7,13.4,58.4,71.8,17320,33059,9224,24122,2.6
East,Northeast,Boston,1105,13,1.2,23.9,67.4,91.3,11077,17104,4850,12132,2.5
East,Northeast,Boston,1107,10.6,0.8,12,80.4,92.4,10316,20893,3599,11165,3.1
East,Northeast,Boston,1108,23.1,8,19.4,45.5,64.9,17615,37966,9765,27142,2.8
East,Northeast,Boston,1109,13.6,1.3,44.2,38.6,82.8,25410,34491,9781,30689,3.1
East,Northeast,Boston,1119,15.2,2.1,22.3,28.1,50.4,7454,46659,5204,14789,2.8
East,Northeast,Boston,1129,24,3.6,17,21.1,38.1,2697,60446,2941,7080,2.4
East,Northeast,Boston,1151,10.1,1.9,17.6,42.9,60.5,5335,30525,3419,8819,2.6
East,Northeast,Boston,1201,24.5,1.4,5.7,6,11.7,5388,46949,20097,46052,2.3
East,Northeast,Boston,1331,15.2,0.8,1.1,3.9,5,679,51014,5434,13576,2.5
East,Northeast,Boston,1420,20.3,4.2,5.7,24.9,30.6,12708,49994,15521,41530,2.7
East,Northeast,Boston,1453,24.3,3.3,5.8,16.9,22.7,9359,62671,16964,41229,2.4
East,Northeast,Boston,1501,31.1,2.2,1.3,3,4.3,692,73864,6550,16100,2.5
East,Northeast,Boston,1510,27.2,1.5,4,15.9,19.9,2800,63965,6044,14070,2.3
East,Northeast,Boston,1550,15,2.1,2.9,30.4,33.3,5659,45605,6999,16993,2.4
East,Northeast,Boston,1570,18.9,1.3,3.4,8.3,11.7,1994,51129,7235,17039,2.4
East,Northeast,Boston,1603,18.6,12.2,13.3,27.2,40.5,8367,43957,7671,20659,2.7
East,Northeast,Boston,1604,26.3,7,13.5,19.6,33.1,11795,52045,14483,35635,2.5
East,Northeast,Boston,1605,24,5.9,17.8,27.7,45.5,11957,40946,10184,26279,2.6
East,Northeast,Boston,1606,32.5,4.3,12.3,13.3,25.6,5471,58874,8986,21371,2.4
East,Northeast,Boston,1608,15.4,5.3,18.7,56,74.7,2851,18078,1671,3817,2.3
East,Northeast,Boston,1609,36.3,7.3,10.7,21.4,32.1,7120,36122,7388,22180,3
East,Northeast,Boston,1610,17.2,8.9,13.3,38.2,51.5,12674,31422,7344,24609,3.4
East,Northeast,Boston,1702,35.5,7.9,8.1,24,32.1,12438,54881,14634,38748,2.6
East,Northeast,Boston,1721,55.6,12,2.7,5.6,8.3,1428,108138,6639,17203,2.6
East,Northeast,Boston,1749,36.6,2.8,1.7,5.3,7,1381,81341,7762,19725,2.5
East,Northeast,Boston,1752,40.1,6.7,3,13.8,16.8,6884,80041,16395,40977,2.5
East,Northeast,Boston,1757,33.1,3,2.6,9.8,12.4,3554,74141,11139,28660,2.6
East,Northeast,Boston,1801,32.6,9.4,4.8,5.6,10.4,4165,77006,16427,40051,2.4
East,Northeast,Boston,1821,30.7,7.7,1.9,2.6,4.5,1434,96263,11452,31856,2.8
East,Northeast,Boston,1830,25.1,1.7,4,20.1,24.1,6408,63046,10702,26589,2.5
East,Northeast,Boston,1832,26.5,2.2,4.8,25.7,30.5,6941,64311,8995,22756,2.5
East,Northeast,Boston,1840,8,0.9,10.7,88.4,99.1,5504,18542,2559,5554,2.2
East,Northeast,Boston,1841,10.1,1.4,9.1,86.3,95.4,47444,34669,14682,49732,3.4
East,Northeast,Boston,1843,15.9,6.4,7.7,68.2,75.9,19501,46319,9080,25693,2.8
East,Northeast,Boston,1844,27.4,4.7,3.7,24.1,27.8,13757,72304,18380,49484,2.7
East,Northeast,Boston,1850,15.6,11,10.3,29.5,39.8,6304,49960,5655,15839,2.8
East,Northeast,Boston,1851,20.4,43.5,7.2,15.8,23,7446,50911,10526,32376,3.1
East,Northeast,Boston,1852,26.2,13.7,7.4,22.3,29.7,10627,47839,14276,35780,2.5
East,Northeast,Boston,1887,34.3,4.9,0.8,2.1,2.9,680,105080,7893,23446,3
